biz,sf,dev,nb,n_peers,C,E,expected,O_E,p,peer_rate,alert_peer,注目度,cover
E1,SF-100,M01,1,9,186.0,179080,213.22222222222223,0.8723293381969776,0.9671224756654571,0.0011906534633807362,True,3.0,36
E1,SF-100,M02,1,9,215.0,179080,210.00000000000003,1.0238095238095237,0.3822967034925425,0.0011726602635693546,True,3.0,36
E1,SF-100,M03,1,9,209.0,179080,210.66666666666669,0.9920886075949367,0.5540097337763544,0.0011763829945648128,True,3.0,36
E1,SF-100,M04,1,9,236.0,179080,207.66666666666669,1.1364365971107544,0.036297611872272435,0.0011596307050852506,True,3.0,36
E1,SF-100,M05,1,9,219.0,179080,209.55555555555554,1.0450689289501591,0.2783938748513835,0.0011701784429057156,True,3.0,36
E1,SF-100,M06,1,9,196.0,179080,212.11111111111111,0.9240440020953379,0.8625447007008673,0.001184448911721639,True,3.0,36
E1,SF-100,M07,1,9,204.0,179080,211.22222222222223,0.9658074697527617,0.6919376435442122,0.0011794852703943613,True,3.0,36
E1,SF-100,M08,1,9,249.0,179080,206.2222222222222,1.2074353448275863,0.0034506050903830633,0.0011515647879284242,True,3.0,36
E1,SF-100,M09,1,9,191.0,179080,212.66666666666666,0.8981191222570534,0.9284716664451431,0.0011875511875511875,True,3.0,36
E1,SF-100,M10,1,9,200.0,179080,211.66666666666669,0.9448818897637794,0.7868997357966098,0.0011819670910580002,True,3.0,36
E1,SF-101,M01,1,9,174.0,179080,217.33333333333331,0.8006134969325154,0.9982956475687652,0.0012136103045193953,True,3.0,36
E1,SF-101,M02,1,9,691.0,179080,159.88888888888889,4.3217512161223075,2.851039955271867e-176,0.0008928349837440746,True,3.0,36
E1,SF-101,M03,1,9,185.0,179080,216.11111111111111,0.8560411311053985,0.9817741377602134,0.0012067852976943886,True,3.0,36
E1,SF-102,M01,1,9,214.0,179080,224.33333333333334,0.9539375928677563,0.7537609695717598,0.0012526989799717073,True,3.0,36
E1,SF-102,M02,1,9,179.0,179080,228.22222222222223,0.7843232716650438,0.9994299630722303,0.0012744149107785472,True,3.0,36
E1,SF-102,M03,1,9,185.0,179080,227.55555555555557,0.8129882812499999,0.9974723460033601,0.001270692179783089,True,3.0,36
E1,SF-102,M04,1,9,201.0,179080,225.77777777777777,0.890255905511811,0.9478284881057499,0.0012607648971285335,True,3.0,36
E1,SF-102,M05,1,9,210.0,179080,224.77777777777777,0.9342560553633218,0.8347412643543062,0.001255180800635346,True,3.0,36
E1,SF-102,M06,1,9,490.0,179080,193.66666666666666,2.5301204819277108,1.1552579428181417e-61,0.001081453354180627,True,3.0,36
E1,SF-102,M07,1,9,207.0,179080,225.11111111111111,0.9195459032576505,0.8828119411521334,0.0012570421661330753,True,3.0,36
E1,SF-102,M08,1,9,199.0,179080,226.0,0.8805309734513275,0.9616367734992026,0.001262005807460353,True,3.0,36
E1,SF-102,M09,1,9,180.0,179080,228.11111111111111,0.789089137847053,0.9992589370033471,0.0012737944556126374,True,3.0,36
E1,SF-103,M01,2,9,242.0,179080,256.55555555555554,0.9432654828930274,0.8148495759168193,0.0014326309780855234,True,3.0,36
E1,SF-103,M02,2,9,224.0,179080,258.55555555555554,0.8663515255694028,0.9828671902876871,0.0014437991710718984,True,3.0,36
E1,SF-103,M03,2,9,260.0,179080,254.55555555555554,1.0213880401571367,0.38269054494564914,0.0014214627850991487,True,3.0,36
E1,SF-103,M04,2,9,260.0,179080,254.55555555555554,1.0213880401571367,0.38269054494564914,0.0014214627850991487,True,3.0,36
E1,SF-103,M05,2,9,253.0,179080,255.33333333333334,0.9908616187989556,0.5647522379557747,0.0014258059712605167,True,3.0,36
E1,SF-103,M06,2,9,274.0,179080,253.0,1.08300395256917,0.11305691962097543,0.0014127764127764128,True,3.0,36
E1,SF-103,M07,2,9,262.0,179080,254.33333333333331,1.0301441677588468,0.33374879800403956,0.0014202218747673293,True,3.0,36
E1,SF-103,M08,2,9,258.0,179080,254.7777777777778,1.0126471870911469,0.4337010376266056,0.0014227036954309682,True,3.0,36
