biz,dev,part,dist,ym,use,fleet,base_rate,expected,O_E,p,alert_dist,run_ym,遅延月,注目度
E1,M01,100-0,A,202301,4.0,1911.0,0.0012319063751154912,2.354173082845704,1.6991104133961275,0.2373860291599712,True,202501,24,-inf
E1,M01,100-0,A,202306,5.0,2132.0,0.0012198427758200055,2.600704798048252,1.9225557640191784,0.14528639188031656,True,202501,19,-inf
E1,M01,100-0,A,202309,5.0,2264.0,0.0011801896733403582,2.671949420442571,1.871292907622413,0.1556305522831742,True,202501,16,-inf
E1,M01,100-0,A,202310,3.0,2309.0,0.0010719439290867861,2.4751185322613893,1.2120631642069495,0.46752046623643734,True,202501,15,-inf
E1,M01,100-0,A,202312,4.0,2397.0,0.001066477070742979,2.556345538570921,1.5647336948963981,0.2783555443175977,True,202501,13,-inf
E1,M01,100-0,A,202401,3.0,2441.0,0.001199365496962897,2.927651178086432,1.0247122411491851,0.5715093529482593,True,202501,12,-inf
E1,M01,100-0,A,202402,5.0,2485.0,0.0011373545134018273,2.826325965803541,1.7690811535881958,0.17922605319328952,True,202501,11,-inf
E1,M01,100-0,A,202403,4.0,2530.0,0.001263611699557736,3.196937599881072,1.2511973959544291,0.41469888543176797,True,202501,10,-inf
E1,M01,100-0,A,202404,4.0,2574.0,0.001312048983162038,3.3772140826590857,1.1844081844081844,0.45249093851925115,True,202501,9,-inf
E1,M01,100-0,A,202405,5.0,2618.0,0.0013944009439021774,3.6505416711359007,1.3696597520126932,0.32334846830052594,True,202501,8,-inf
E1,M01,100-0,A,202406,5.0,2662.0,0.001473735920558616,3.9230850205270356,1.274507173267504,0.3741149601938724,True,202501,7,-inf
E1,M01,100-0,A,202407,4.0,2706.0,0.0014468290330359296,3.9151193633952257,1.021680216802168,0.559427868241563,True,202501,6,-inf
E1,M01,100-0,A,202411,5.0,2883.0,0.0013803730217328497,3.9796154216558057,1.2564028103800142,0.3845232235493104,True,202501,2,-inf
E1,M01,100-0,B,202302,4.0,1380.0,0.0009202236851419268,1.269908685495859,3.1498327759197324,0.05831577816536948,True,202501,23,-inf
E1,M01,100-0,B,202303,3.0,1411.0,0.0011033721812288807,1.5568581477139507,1.9269578313253013,0.23460810808306076,True,202501,22,-inf
E1,M01,100-0,B,202305,2.0,1474.0,0.001245983343170044,1.836579447832645,1.0889809326572877,0.5635851912363498,True,202501,20,-inf
E1,M01,100-0,B,202306,2.0,1505.0,0.001152073732718894,1.7338709677419355,1.1534883720930234,0.53488922140965,True,202501,19,-inf
E1,M01,100-0,B,202307,2.0,1536.0,0.001187574223388962,1.8241140071254454,1.096422697368421,0.5600757387214669,True,202501,18,-inf
E1,M01,100-0,B,202308,4.0,1567.0,0.0012825994014536127,2.009833262077811,1.9902148479047013,0.16982842839797843,True,202501,17,-inf
E1,M01,100-0,B,202311,3.0,1661.0,0.001257430269775949,2.0885916780978513,1.4363745826719936,0.37050973654609687,True,202501,14,-inf
