biz,dev,part,dist,ym,use,fleet,base_rate,expected,O_E,p,alert_dist,run_ym,遅延月,注目度
E1,M02,101-0,D,202410,24.0,1214.0,0.003910743041177824,4.747642051989878,5.055141002035081,7.177681753533862e-09,True,202501,3,3.0
E1,M10,103-0,A,202501,18.0,2441.0,0.0005416489341122761,1.3221650481680658,13.614034060982034,1.007297676928689e-11,True,202501,0,3.0
E1,M10,103-1,A,202501,14.0,2441.0,0.0005416489341122761,1.3221650481680658,10.588693158541583,1.57659252662775e-08,True,202501,0,3.0
E1,M10,100-0,A,202412,8.0,2397.0,0.0005924872615238773,1.4201919658727338,5.633041301627034,0.0004669595478550785,True,202501,1,1.447491230662017
E1,M01,100-0,C,202412,9.0,1722.0,0.0012341704228375188,2.1252414681262075,4.234812907135282,0.0010253901299067045,True,202501,1,1.2990316827223565
E1,M12,104-0,E,202405,4.0,393.0,0.0007479431563201197,0.29394166043380704,13.608142493638676,0.0017785744905448738,True,202501,8,1.195085655592223
E1,M05,104-0,B,202408,7.0,1754.0,0.000966754390676191,1.6956872012460389,4.128119853034335,0.004187678623807624,True,202501,5,1.0334618233479875
E1,M11,100-0,C,202410,4.0,1306.0,0.0003664614482556435,0.4785986514218704,8.357733537519142,0.005120306797098935,False,202501,3,0.9955124533912203
E1,M10,100-0,D,202405,5.0,921.0,0.0009442870632672333,0.8696883852691218,5.749185667752442,0.0053898005298166065,False,202501,8,0.9858312631816264
E1,M01,101-0,A,202409,8.0,2795.0,0.0008308408109006315,2.322200066467265,3.445008944543828,0.005453899111055654,False,202501,4,0.983599911509541
E1,M04,104-1,C,202407,10.0,1462.0,0.0024490848156741426,3.5805620005155965,2.792857657138743,0.006953002364861503,False,202501,6,0.9377659687044041
E1,M08,100-0,A,202405,7.0,2176.0,0.0008824178248400617,1.9201411868519744,3.645565257352941,0.0072950904680361695,False,202501,8,0.9287011998894976
E1,M11,103-0,D,202410,4.0,980.0,0.0005863383172090296,0.574611550864849,6.961224489795918,0.007960251837169783,False,202501,3,0.9122319988430408
E1,M09,101-0,D,202405,4.0,940.0,0.0006144393241167435,0.5775729646697388,6.925531914893617,0.00809411681443508,False,202501,8,0.9090844257117426
E1,M13,102-0,D,202409,4.0,882.0,0.0006620324395895399,0.5839126117179742,6.850340136054422,0.00838541186692029,False,202501,4,0.9024113571623928
E1,M06,100-0,E,202408,3.0,503.0,0.0005636978579481398,0.2835400225479143,10.58051689860835,0.010544556984449843,False,202501,5,0.8591681401685972
E1,M06,103-1,A,202408,6.0,2441.0,0.000657716562850621,1.6054861299183658,3.7371858206617343,0.011508081422200908,False,202501,5,0.8426648403957834
E1,M13,103-1,B,202411,4.0,1474.0,0.0004590464948521215,0.6766345334120271,5.9116107772824185,0.012000295968153794,False,202501,2,0.8347601058045026
E1,M06,101-0,C,202406,5.0,1384.0,0.0008230452674897119,1.1390946502057613,4.389450867052023,0.012472054590632331,False,202501,7,0.8274824754481421
E1,M04,104-2,C,202408,11.0,1488.0,0.0031589588071771544,4.700530705079606,2.3401612903225804,0.014065626091714627,False,202501,5,0.8047878276958117
E1,M07,104-0,A,202412,7.0,2530.0,0.0008919611996878136,2.2566618352101684,3.1019268774703557,0.014405217595393956,False,202501,1,0.800285168228045
E1,M01,103-1,C,202410,4.0,1670.0,0.00044414834554741284,0.7417277370641795,5.392814371257485,0.014714282683421466,False,202501,3,0.7962785831641538
E1,M06,100-0,D,202409,5.0,1096.0,0.001117126407149609,1.2243705422359714,4.083731049971926,0.015600943534013484,False,202501,4,0.7852349332400761
E1,M10,104-0,C,202405,6.0,1228.0,0.00141643059490085,1.7393767705382437,3.4495114006514656,0.015684624766692468,False,202501,8,0.7842252687478927
E1,M07,101-0,D,202409,4.0,1058.0,0.0007162682424568,0.7578118005192944,5.2783553875236295,0.015736878302624307,False,202501,4,0.7835975267934402
E1,M12,103-1,A,202410,5.0,2132.0,0.0005873317068762989,1.2521911990602692,3.99300043296291,0.016940688042129462,False,202501,3,0.7696852966777781
E1,M11,100-0,D,202405,4.0,882.0,0.0008827099194527199,0.7785501489572989,5.137755102040816,0.017116702465043637,False,202501,8,0.7677344066865808
E1,M13,104-1,D,202409,4.0,882.0,0.0008827099194527199,0.7785501489572989,5.137755102040816,0.017116702465043637,False,202501,4,0.7677344066865808
E1,M01,104-0,A,202409,8.0,2795.0,0.0010634762379528083,2.972416085078099,2.691413237924866,0.01777539918901932,False,202501,4,0.7606074847643969
E1,M12,101-0,E,202411,3.0,448.0,0.0008570816370259267,0.38397257338761515,7.8130580357142865,0.01795550734936572,False,202501,2,0.758704720175088
E1,M11,105-0,A,202408,3.0,2132.0,0.00018071744826963042,0.3852895997108521,7.786350844277673,0.018108865884549383,False,202501,5,0.757099538447372
E1,M02,103-1,C,202410,5.0,1618.0,0.0008051529790660225,1.3027375201288245,3.8380716934487022,0.01885924614500133,False,202501,3,0.7494364151812807
E1,M01,102-0,A,202501,8.0,2972.0,0.001024494737822483,3.0447983608084193,2.627431787593295,0.0198113528816119,False,202501,0,0.7401406628640058
E1,M02,102-0,A,202408,6.0,2662.0,0.0007017790097898172,1.8681357240604934,3.2117580766341094,0.02008820960488222,False,202501,5,0.7375213586712986
E1,M04,103-1,B,202409,4.0,1817.0,0.00046468401486988845,0.8443308550185873,4.737479361585031,0.020579638485584053,False,202501,4,0.7329597014228734
E1,M11,104-1,B,202410,5.0,1567.0,0.0008550662676357417,1.3398888413852073,3.7316528398213147,0.020875253228477917,False,202501,3,0.7302678586303945
E1,M11,101-0,A,202410,5.0,2220.0,0.0006035783574046131,1.3399439534382411,3.731499356499356,0.02087833991912222,False,202501,3,0.730239953035954
E1,M10,101-0,B,202406,5.0,1505.0,0.0008960573476702509,1.3485663082437276,3.707641196013289,0.021364784021892482,False,202501,7,0.7258929680558738
E1,M10,101-0,C,202410,4.0,1358.0,0.0006307821698906644,0.8566021867115223,4.669612174766813,0.021509162208149888,False,202501,3,0.7246218034518009
E1,M04,104-1,A,202406,15.0,2441.0,0.0032498936046736564,7.932990289008395,1.8908380640252824,0.02268983712492769,False,202501,7,0.7145359359547494
E1,M01,104-0,B,202410,5.0,2004.0,0.0006939625260235947,1.3907009021512837,3.5953093812375254,0.02311861753304063,False,202501,3,0.711002526204623
E1,M04,101-0,C,202409,5.0,1514.0,0.0009293680297397769,1.4070631970260223,3.553500660501981,0.024102053255775763,False,202501,4,0.7031398814085639
E1,M09,104-0,A,202410,5.0,2353.0,0.0006051803437424352,1.42398934882595,3.5112622184445392,0.02514618502832674,False,202501,3,0.6951356115302686
E1,M11,104-2,A,202501,5.0,2353.0,0.0006051803437424352,1.42398934882595,3.5112622184445392,0.02514618502832674,False,202501,0,0.6951356115302686
