biz,dev,part,dist,ym,use,fleet,base_rate,expected,O_E,p,alert_dist,run_ym,遅延月,注目度
E1,M12,104-0,E,202405,4.0,393.0,0.0007479431563201197,0.29394166043380704,13.608142493638676,0.0017785744905448738,True,202412,7,1.195085655592223
E1,M10,100-0,A,202412,7.0,2397.0,0.0005924872615238773,1.4201919658727338,4.928911138923654,0.0019191603030802537,True,202412,0,1.180727219220155
E1,M05,104-0,B,202408,7.0,1754.0,0.000966754390676191,1.6956872012460389,4.128119853034335,0.004187678623807624,True,202412,4,1.0334618233479875
E1,M10,100-0,D,202405,5.0,921.0,0.0009442870632672333,0.8696883852691218,5.749185667752442,0.0053898005298166065,False,202412,7,0.9858312631816264
E1,M01,101-0,A,202409,8.0,2795.0,0.0008308408109006315,2.322200066467265,3.445008944543828,0.005453899111055654,False,202412,3,0.983599911509541
E1,M03,103-1,B,202404,6.0,1723.0,0.0007673335160317895,1.3221156481227734,4.538180913688749,0.005526646346395023,False,202412,8,0.9810990424125283
E1,M04,104-1,C,202407,10.0,1462.0,0.0024490848156741426,3.5805620005155965,2.792857657138743,0.006953002364861503,False,202412,5,0.9377659687044041
E1,M08,100-0,A,202405,7.0,2176.0,0.0008824178248400617,1.9201411868519744,3.645565257352941,0.0072950904680361695,False,202412,7,0.9287011998894976
E1,M09,101-0,D,202405,4.0,940.0,0.0006144393241167435,0.5775729646697388,6.925531914893617,0.00809411681443508,False,202412,7,0.9090844257117426
E1,M06,100-0,E,202408,3.0,503.0,0.0005636978579481398,0.2835400225479143,10.58051689860835,0.010544556984449843,False,202412,4,0.8591681401685972
E1,M06,103-1,A,202408,6.0,2441.0,0.000657716562850621,1.6054861299183658,3.7371858206617343,0.011508081422200908,False,202412,4,0.8426648403957834
E1,M13,103-1,B,202411,4.0,1474.0,0.0004590464948521215,0.6766345334120271,5.9116107772824185,0.012000295968153794,False,202412,1,0.8347601058045026
E1,M02,101-0,E,202404,7.0,512.0,0.004234167893961708,2.1678939617083945,3.2289402173913047,0.01216493289852221,False,202412,8,0.8321883182283044
E1,M06,101-0,C,202406,5.0,1384.0,0.0008230452674897119,1.1390946502057613,4.389450867052023,0.012472054590632331,False,202412,6,0.8274824754481421
E1,M04,104-2,C,202408,11.0,1488.0,0.0031589588071771544,4.700530705079606,2.3401612903225804,0.014065626091714627,False,202412,4,0.8047878276958117
E1,M10,104-0,C,202405,6.0,1228.0,0.00141643059490085,1.7393767705382437,3.4495114006514656,0.015684624766692468,False,202412,7,0.7842252687478927
E1,M12,103-1,A,202410,5.0,2132.0,0.0005873317068762989,1.2521911990602692,3.99300043296291,0.016940688042129462,False,202412,2,0.7696852966777781
E1,M11,100-0,D,202405,4.0,882.0,0.0008827099194527199,0.7785501489572989,5.137755102040816,0.017116702465043637,False,202412,7,0.7677344066865808
